[URL],[Titulo],[Fecha],[Snippet]
https://www.sinembargo.mx/05-01-2015/1208994,Asambleísta propone crear instituto de abasto popular para el DF ...,5 Ene 2015,"5 Ene 2015 ... El diputado de la Asamblea Legislativa del Distrito Federal (ALDF) dijo que a 
través de este ... Recordó que la ciudad de México está dentro de una zona con 
alta sismicidad, edificada ... genera hundimientos, y en tiempo de lluvias ocurren 
inundaciones severas por las malas ... Por Gustavo De la Rosa."
http://www.sinembargo.mx/16-01-2015/1219700,Obras mal planeadas dañarán ecología y economía en el Valle de ...,16 Ene 2015,"16 Ene 2015 ... El Área Metropolitana del Valle de México está en riesgo de una ... Tiene 55 y 
150 metros de profundidad, 7.5 metros de diámetro y el objetivo es que evite las 
inundaciones en el Valle de México, así ... segundo de aguas residuales del 
Distrito Federal a costa del acceso a este ... Por Gustavo Sosa Núñez."
http://www.sinembargo.mx/01-01-2015/1203961,LUCIO RELOADED (O LA PERSISTENCIA DEL AGRAVIO ...,1 Ene 2015,"1 Ene 2015 ... SECCIÓN MÉXICO ... Fue con Rosario Ibarra al Distrito Federal. ... gobierno de 
Gustavo Díaz Ordaz, que redujo su número a la mitad. ... inundación de Tixtla, 
los normalistas acudieron a apoyar a la gente. ... La tormenta “Cristina” causará 
lluvias intensas en Colima, Jalisco, Michoacán, Nayarit y Guerrero."
http://www.sinembargo.mx/15-03-2015/1282389,Las lluvias desbordan ríos en Michoacán y Guerrero; hay al menos ...,15 Mar 2015,"15 Mar 2015 ... [youtube KTd_lXKGzDs] Ciudad de México, 15 marzo (SinEmbargo). ... ruta, 
mientras que los elementos de la Policía Federal División Caminos ... En la 
ciudad de Zamora las lluvias saturaron las líneas de drenaje y aunado al ... que 
hubo inundaciones en 26 colonias de la capital michoacana y según la ..."
https://www.excelsior.com.mx/periodico/flip-nacional/16-03-2015/16-03-2015_flip-nacional.pdf,Untitled,16 Mar 2015,"16 Mar 2015 ... tripulados para tomas aéreas de la Ciudad de México. CUMPLE CON ... n la 
elección de diputados federales de mayoría re- ... El distrito 02 de Chihuahua (
Ciudad Juárez) fue el que menos ... tre ellas Felipe Calderón, Diego Fernández 
de Cevallos y Gustavo Madero. ... hogares por las inundaciones, de."
https://www.sinembargo.mx/04-03-2015/1270772,TSJDF ratifica sentencia a secuestrador exprés | SinEmbargo MX,4 Mar 2015,"4 Mar 2015 ... México, 4 Mar (Notimex).- Magistrados del Tribunal Superior de Justicia del 
Distrito Federal (TSJDF) ... Cuauhtémoc, Gustavo A. Madero, Iztapalapa, 
Magdalena Contreras, Miguel Hidalgo, Tlalpan ... naim-lluvias-inundacion."
http://www.excelsior.com.mx/periodico/flip-comunidad/05-04-2015/portada.pdf,Prevén cierre para arreglo,5 Abr 2015,"5 Abr 2015 ... Servicios del Distrito Federal. (Sobse) detalló ... ciones Azcapotzalco y Gustavo. 
A. Madero y ... Ecatepec, del Estado de México. EVITaRÁn InUndaCIOnES ... a la 
próxima temporada de lluvias y las precipitaciones atípicas,."
https://www.milenio.com/estados/detecta-gdf-45-colonias-riesgo-inundacion,Detecta GDF 45 colonias en riesgo de inundación,17 May 2015,"17 May 2015 ... El Gobierno del Distrito Federal tiene detectadas 45 colonias como focos ... en 
14 delegaciones, siendo Gustavo A. Madero e Iztapalapa las que presentan ... “
Se ha estado trabajando por estas lluvias, llevamos a cabo un ... Tratamiento y 
Reuso del Sistema de Aguas de la Ciudad de México (SACM)."
https://www.eluniversal.com.mx/articulo/metropoli/2015/05/21/urgen-plan-para-evitar-deslaves,Urgen plan para evitar deslaves,21 May 2015,"21 May 2015 ... Una de las causas de encharcamientos e inundaciones en las vías de ... refiere 
que hay 74 zonas en la capital del país en peligro de deslave, ..."
https://www.sinembargo.mx/07-05-2015/1338276,Autoridades monitorearán ríos entubados en la Miguel Hidalgo para ...,7 May 2015,"7 May 2015 ... México, 7 May (Notimex). ... Asimismo, destacó que en la Temporada de lluvias 
2014 se atendieron 384 ... en conjunto con Protección Civil del Distrito Federal y 
la delegación Cuauhtémoc, acordaron ... Ello, tomando en cuenta una posible 
inundación causada por exceso de ... Por Gustavo De la Rosa."
