[URL],[Titulo],[Fecha],[Snippet]
http://www.excelsior.com.mx/periodico/flip-nacional/08-01-2014/portada.pdf,Enrique Peña Nieto,8 Ene 2014,"8 Ene 2014 ... hacía en la capital jalisciense y con quién habló? ¿Por qué se le trasladó a la 
Ciudad de México en un helicóptero de la Policía. Federal?"
https://www.excelsior.com.mx/periodico/flip-global/08-01-2014/portada.pdf,Gana terreno el frente frío ártico,8 Ene 2014,"8 Ene 2014 ... Ex CONSEJErO FEdErAL dE SUIzA ... lo habríamos tenido nosotros, México y 
sus políticos. ... Las inundaciones en Eu- ... Juzgado Primero de Distrito en 
Materia Administrativa ... J. GUSTAVO ERIK PRIETO RODRIGUEZ."
https://www.excelsior.com.mx/periodico/flip-global/16-02-2014/portada.pdf,Golpea nueva tormenta a EU,16 Feb 2014,"16 Feb 2014 ... opositores en México ... lluvia congelada y aguaceros. El Servicio ... aparece hoy 
como la nueva capital europea de la yerba.> 6 ... inundaciones que azotan ... nar 
el límite de la deuda federal ... líder opositor gustavo Tovar."
http://www.sinembargo.mx/25-02-2014/915239,Dos mujeres indígenas que pasaron 4 años presas piden a la PGR ...,25 Feb 2014,"25 Feb 2014 ... México, 25 feb (EFE).- Dos indígenas mexicanas exigieron hoy a la Procuraduría 
federal reconocer que fueron acusadas injustamente por un ..."
https://www.sinembargo.mx/29-03-2014/946961,Mancera activa el Programa de Desazolve 2014 | SinEmbargo MX,29 Mar 2014,"29 Mar 2014 ... Con el propósito de evitar inundaciones en la próxima temporada de lluvias, el 
jefe de Gobierno del Distrito Federal, Miguel Ángel Mancera, puso en 
funcionamiento el Programa de Desazolve 2014 para la Ciudad de México, en la 
colonia Moctezuma, Segunda Sección. ... Por Gustavo De la Rosa."
https://www.excelsior.com.mx/comunidad/2014/03/03/946587,Sustraen dos o tres coladeras diario; robo suma $10 millones al año,3 Mar 2014,"3 Mar 2014 ... ... tapas de alcantarillas en el Distrito Federal, la dependencia emprendió un ... El 
Sistema de Aguas de la Ciudad de México (SACM) ha gastado durante ... en 
temporada de lluvias surgen las inundaciones, las afectaciones a la ... son 
Gustavo A. Madero, Iztapalapa, Venustiano Carranza y Cuauhtémoc."
https://www.sinembargo.mx/16-03-2014/934289,Conagua informa que frente frío 43 provocará lluvias en gran parte ...,16 Mar 2014,"16 Mar 2014 ... Asimismo, ocasionará lluvias ligeras en algunas regiones de ... en Hidalgo, 
Puebla y Yucatán y ligeras en el Estado de México, Distrito Federal y Quintana 
Roo. ... debido a que se pueden registrar inundaciones, encharcamientos, y 
posibles deslaves en áreas montañosas. ... Por Gustavo De la Rosa."
https://www.unotv.com/noticias/nacional/detalle/mancera-activa-programa-de-desazolve-2014-706821/,Mancera activa Programa de Desazolve 2014,29 Mar 2014,"29 Mar 2014 ... Con el propósito de evitar inundaciones en la próxima temporada de lluvias, el 
jefe de Gobierno del Distrito Federal, Miguel Ángel Mancera, puso ... de 
Desazolve 2014 para la Ciudad de México"", en la colonia Moctezuma Segunda 
... Es legal mi asistencia a la XXII Asamblea Nacional: Gustavo Madero."
http://www.excelsior.com.mx/periodico/flip-comunidad/30-03-2014/portada.pdf,españoles chilangos,30 Mar 2014,"30 Mar 2014 ... Se previene GDF ante inundaciones rían muy ... “La Ciu- dad de México tiene 
que estar ya ... Distrito Federal, anunció la instalación de más de mil cámaras de 
videovigilancia para la delegación Gustavo A. Madero, donde."
http://www.excelsior.com.mx/periodico/flip-comunidad/30-03-2014/30-03-2014_flip-comunidad.pdf,Untitled,30 Mar 2014,"30 Mar 2014 ... Distrito Federal, anunció la instalación de más de mil cámaras de videovigilancia 
para la delegación Gustavo A. Madero, donde ... dad de México (SACM), Ramón 
inundaciones en la ciudad se- Profunda. VISOR. Dos sujetos ..."
https://www.excelsior.com.mx/comunidad/2014/04/15/954263,Tarde de granizo y encharcamientos en la Ciudad de México,15 Abr 2014,"15 Abr 2014 ... Diversas zonas de la capital se han visto afectadas por la granizada que se 
registra; llueve en al menos 10 delegaciones del Distrito Federal. ... Benito 
Juárez, Coyoacán, Cuauhtémoc, Gustavo A. Madero, Iztacalco, Iztapalapa, ... Si 
reporta encharcamientos, coladeras tapadas e inundaciones es necesario ..."
https://www.milenio.com/estados/granizada-anoche-deja-20-casas-inundadas-gam,Granizada de anoche deja 20 casas inundadas GAM,"Ciudad de México / 16.04.2014 10:38:42. El Heroico Cuerpo de Bomberos 
reportó inundaciones en al menos 20 domicilios ubicados en la colonia La Joya, 
... La Secretaría de Protección Civil del Distrito Federal informó que debido a la ...","Ciudad de México / 16.04.2014 10:38:42. El Heroico Cuerpo de Bomberos 
reportó inundaciones en al menos 20 domicilios ubicados en la colonia La Joya, 
... La Secretaría de Protección Civil del Distrito Federal informó que debido a la ..."
https://www.sinembargo.mx/15-04-2014/963207,Frente frío 50 propiciará lluvias en gran parte del país: Conagua ...,15 Abr 2014,"15 Abr 2014 ... Debido a que en zonas urbanas se pueden registrar inundaciones y ... de 
México; moderadas en zonas de Puebla, Hidalgo, Distrito Federal, ..."
http://www.sinembargo.mx/26-04-2014/972648,FOTORREPORTAJE | Un mercado con años de historia se ...,26 Abr 2014,"26 Abr 2014 ... El granizo provocó inundaciones en más de 100 puntos de la capital y la caída 
de 10 árboles. ... Ciudad de México, principalmente en la Delegación Gustavo A. 
Madero, ... Esperan la ayuda del Gobierno del Distrito Federal."
https://www.excelsior.com.mx/periodico/flip-comunidad/16-04-2014/16-04-2014_flip-comunidad.pdf,Untitled,16 Abr 2014,"16 Abr 2014 ... Asamblea Legislativa del Distrito Federal, Jorge Gaviño, reveló ... Alvaro 
Obregón, Azcapotzalco, Cuajimalpa, Gustavo. A. Madero, Miguel ... 
ECOLOGISTA DE MÉXICO EN EL SENADO, ... charcamientos e inundaciones."
https://www.sinembargo.mx/23-04-2014/970936,Activistas de Greenpeace se manifiestan en el Foro Pemex; exigen ...,23 Abr 2014,"23 Abr 2014 ... Y agregó que sí en México se invirtiera en energías renovables, se podría 
abastecer para 2020 ... a la agricultura, por las ondas de calor en zonas urbanas, 
por sequía o por inundaciones. ... el Foro Pemex, que se lleva a cabo en el 
Centro Banamex en el Distrito Federal, donde ... Por Gustavo De la Rosa."
http://www.sinembargo.mx/19-04-2014/966818,"Una extraña Semana Santa casi llega a su fin: Luna roja, granizo ...",19 Abr 2014,"19 Abr 2014 ... El granizo provocó inundaciones en más de 100 puntos de la capital y la ... 
Tlaxcala, Estado de México, Distrito Federal e Hidalgo, y otro en la Comarca ... 
de México, principalmente en la delegación Gustavo A. Madero, ..."
