[URL],[Titulo],[Fecha],[Snippet]
https://www.excelsior.com.mx/comunidad/2016/01/13/1068598,Ofrecen beneficios fiscales por instalar azoteas verdes en el DF,13 Ene 2016,"13 Ene 2016 ... En México y particularmente en la capital del país, desde 2007, la Dirección de ... 
De acuerdo con datos del Gobierno del Distrito Federal, durante la actual ... de 
los sistemas de drenaje de las ciudades por inundaciones."
https://www.eluniversal.com.mx/tag/hospital-general-xoco,hospital General Xoco | El Universal,"... México informó de las afectaciones luego de la precipitación en las zonas 
poniente y sur de la capital. Lluvias provocan inundación en Hospital General 
Xoco.","... México informó de las afectaciones luego de la precipitación en las zonas 
poniente y sur de la capital. Lluvias provocan inundación en Hospital General 
Xoco."
https://www.eluniversal.com.mx/tag/paradero-de-indios-verdes,paradero de Indios Verdes | El Universal,"Debido a las lluvias, el paradero de Indios Verdes registra una fuerte inundación. 
Por su parte, autoridades aclaran la veracidad de un video que circula sobre ...","Debido a las lluvias, el paradero de Indios Verdes registra una fuerte inundación. 
Por su parte, autoridades aclaran la veracidad de un video que circula sobre ..."
http://www.excelsior.com.mx/periodico/flip-comunidad/26-02-2016/portada.pdf,“Bajaron delitos de alto impacto”,26 Feb 2016,"26 Feb 2016 ... INUNDACIONES. El jefe Gobierno de la Ciudad de México, Miguel. Ángel 
Mancera Espinosa, puso ayer en marcha el Proyecto Pluvial y de ..."
http://www.milenio.com/sitemap/articles/sitemap-articles-2016-01.xml,https://www.milenio.com/policia/doble-choque-deja-2-mujeres ...,... .milenio.com/opinion/editoriales/se-comenta-estado-de-mexico/2016-02-01,"... .milenio.com/opinion/editoriales/se-comenta-estado-de-mexico/2016-02-01 ... 
https://www.milenio.com/opinion/alex-angeles/digital-capital/shodan-y-el-arte-de- 
... https://www.milenio.com/estados/retiran-basura-drenaje-evitar-inundaciones- 
... 0.9 https://www.milenio.com/negocios/gobierno-federal-ira-rescate-entidades-
 ..."
https://www.eluniversal.com.mx/articulo/metropoli/cdmx/2016/04/21/inundaciones-y-granizo-azotan-los-capitalinos,Inundaciones y granizo azotan a los capitalinos,21 Abr 2016,"21 Abr 2016 ... Inundaciones y granizo azotan a los capitalinos ... de viento se registraron 
durante la tarde de ayer en la Ciudad de México. ... de la capital: en Cuauhtémoc 
cayó granizo; en Iztacalco, Benito Juárez, ... Entre 4 y 5 de la tarde hubo lluvia 
ligera en Iztacalco, Venustiano Carranza, Gustavo A. Madero, Miguel ..."
https://www.eleconomista.com.mx/opinion/La-Gran-Carpa-20160419-0114.html,La Gran Carpa | El Economista,19 Abr 2016,"19 Abr 2016 ... La Asamblea Legislativa del Distrito Federal (ALDF) otorgó la Medalla al Mérito 
... el impacto de posibles inundaciones durante la próxima temporada de lluvias. 
... LA delegación Gustavo A. Madero llevó a cabo la Feria de ... 60 a 80% de las 
llamadas que se reciben de este tipo en la Ciudad de México, ..."
https://www.reforma.com/mueren-seis-por-inundaciones-en-texas/ar822897,Mueren seis por inundaciones en Texas,19 Abr 2016,"19 Abr 2016 ... Colapsan lluvias capital chilena ... Mueren 55 por inundaciones en Pakistán ... 
materiales son excesivas en los próximos días podría haber una declaración 
federal de desastre. ... Detienen a 8 personas en cateos en la GAM."
https://www.reforma.com/aplicacioneslibre/articulo/default.aspx?id=826149&md5=3e1ee2f03c1e556e03be7270b0b23180&ta=0dfdbac11765226904c16cb9ad1b2efe,Sofoca calor a la Ciudad,25 Abr 2016,"25 Abr 2016 ... La temperatura en la Ciudad de México aumentó en tres décadas lo que no 
había ... Ese podría ser el clima ideal para la población del Distrito Federal"", 
estima. ... máxima se registró en 1983 en la Delegación Gustavo A. Madero. ... 
que resultan en grandes inundaciones"", explica Nuria Vargas Huite, ..."
https://www.excelsior.com.mx/periodico/flip-comunidad/20-04-2016/portada.pdf,Plan debería ser emergente,20 Abr 2016,"20 Abr 2016 ... Tesoro es contemporánea de las otras tres colonias y pertenece a la delegación. 
Gustavo A. Madero. Tras varias etapas de funcionamiento,."
https://www.excelsior.com.mx/comunidad/2016/05/21/1094076,Lluvia inunda palacio municipal de Atizapán,21 May 2016,"21 May 2016 ... Protección Civil y Bomberos reportaron inundaciones en colonias como El 
Potrero y Caspistrano entre otras, en donde el drenaje fue insuficiente ..."
https://www.eluniversal.com.mx/articulo/metropoli/cdmx/2016/05/28/naicm-oportunidad-para-rescate-ambiental,"“NAICM, oportunidad para rescate ambiental”",28 May 2016,"28 May 2016 ... Acerca de los grandes problemas que enfrenta la Ciudad de México (medio 
ambientales, ... Ahora la capital depende del agua que se trae del Sistema ... 
Ahora mismo hay una gran oportunidad, el gobierno federal se ha dado a ... 
hacia lo que queda del lago de Chalco, se pueden evitar las inundaciones."
https://www.excelsior.com.mx/periodico/flip-comunidad/17-05-2016/portada.pdf,Dan prisión al abusador,17 May 2016,"17 May 2016 ... agredidos en la Gustavo. A. Madero. >5 ... de la Ciudad de México, Mi- guel 
Ángel ... CLIMA HOY. HOY NO ... curaduría General de Justicia del Distrito 
Federal donde se- guramente ya la ... FUGA E INUNDACIÓN. Una fuga ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/aguas-deja-lluvia-semaforos-descompuestos-inundaciones-cdmx-138999/,¡Aguas! Deja lluvia semáforos descompuestos e inundaciones en ...,1 Jun 2016,"1 Jun 2016 ... Precipitaciones nocturnas provocaron algunos problemas en la capital mexicana
. ... Deja lluvia semáforos descompuestos e inundaciones en CDMX ... provocó la 
lluvia de esta noche en varios puntos de la Ciudad de México, ... colonia 
Cuautepec de Madero, delegación Gustavo A. Madero, pero la ..."
https://www.publimetro.com.mx/mx/noticias/2016/06/28/cierran-tramo-mexico-toluca-inundacion.html,Cierran tramo de la México-Toluca por inundación | Publimetro México,28 Jun 2016,"28 Jun 2016 ... Elementos de la Policía Federal arribaron al lugar para auxiliar a los 
automovilistas varados, sin embargo, la fuerte lluvia dificulta el avance. ... En 11 
de las 16 delegaciones de la capital registran lluvia en esta tarde-noche de 
lunes, ... Gustavo A. Madero, Venustiano Carranza, Benito Juárez e Iztacalco."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/polis-le-invitan-unos-tacos-y-evitan-suicidio-018262/,Polis le invitan unos tacos y evitan suicidio,2 Jun 2016,"2 Jun 2016 ... Redacción México Ciudad de México Uno TV ... ubicado en calzada de Ticomán 
y avenida Insurgentes, delegación Gustavo A. Madero. ... Deja lluvia semáforos 
descompuestos e inundaciones en CDMX Ciudad de México ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/habr-ley-seca-el-prximo-domingo-en-la-cdmx-323565/,Habrá ley seca el próximo domingo en la CDMX,2 Jun 2016,"2 Jun 2016 ... Agencias México Ciudad de México Notimex ... Mercantiles del Distrito Federal y 
demás disposiciones aplicables. ... Ley seca en Venustiano Carranza por 
carnaval · “Ley seca” y operativo especial en la GAM por festejo guadalupano ... 
Deja lluvia semáforos descompuestos e inundaciones en CDMX ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/spiderman-da-clases-en-la-facultad-de-ciencias-de-la-unam-841563/,“Spiderman” da clases en la Facultad de Ciencias de la UNAM,4 Jun 2016,"4 Jun 2016 ... Un profesor de la Universidad Nacional Autónoma de México ... En las calles de 
la capital mexicana, las personas generalmente se ... Deja lluvia semáforos 
descompuestos e inundaciones en CDMX Ciudad de México ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/metrobus-reforma-aca-detalles-266040/,¡Confirmado! Habrá Metrobús sobre Reforma; acá los detalles,21 Jun 2016,"21 Jun 2016 ... Redacción CDMX Ciudad de México Uno TV ... Indios Verdes, Ahuehuete, 
Delegación Gustavo A. Madero, Hospital Infantil la Villa, ... Atienden equipos de 
emergencia inundaciones en Tlalpan Ciudad de México ... Dan banderazo de 
salida a nueva ruta de capital bus ""Tour capital XFL"" Ciudad de México ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/al-corralon-35-autos-estacionaods-sitios-prohibidos-cdmx-960350/,"Al corralón, 35 autos estacionados en sitios prohibidos en CDMX",1 Jun 2016,"1 Jun 2016 ... Agencia México Ciudad de México Notimex ... la delegación Gustavo A. Madero, 
donde siete autos fueron llevados al depósito vehicular. ... Deja lluvia semáforos 
descompuestos e inundaciones en CDMX Ciudad de México ..."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/hallan-bebe-muerto-en-metro-acatitla-494320/,Hallan cadáver de bebé dentro de pañalera en Metro Acatitla,"Hallan cadáver de bebé dentro de pañalera en Metro Acatitla. 22/06/2016 12:03. 
Redacción México Ciudad de México Uno TV. PLAYBACK ERROR. Could not ...","Hallan cadáver de bebé dentro de pañalera en Metro Acatitla. 22/06/2016 12:03. 
Redacción México Ciudad de México Uno TV. PLAYBACK ERROR. Could not ..."
https://www.excelsior.com.mx/periodico/flip-comunidad/03-06-2016/portada.pdf,Proponen retomar precontingencias,3 Jun 2016,"3 Jun 2016 ... La lluvia que cayó la noche del miércoles dejó así al menos 18 ... inundaciones. 
1450 ... n El embajador de EU en México, John D. Negroponte, informó que 
habrá una ... Distrito Federal (IEDF) in- ... Gustavo A. Madero."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/sabado-de-congestionamiento-vial-por-manifestaciones-en-la-cdmx-731362/,Manifestaciones podrían causar caos este sábado en la CDMX,25 Jun 2016,"25 Jun 2016 ... La Secretaría de Seguridad Pública de la Ciudad de México (SSPDF) ... San 
Pedro Zacatenco en la demarcación de Gustavo A. Madero."
https://www.unotv.com/noticias/estados/distrito-federal/detalle/no-pasaran-marcha-domingo-no-llegara-zocalo-mancera-486946/,"¡No pasarán! Marcha del domingo no llegará al Zócalo, dice Mancera",22 Jun 2016,"22 Jun 2016 ... Agencia México Ciudad de México Notimex ... índole se llevan a cabo con 
cualquier persona o grupo que pretende movilizarse en la capital. ... Atienden 
equipos de emergencia inundaciones en Tlalpan Ciudad de México ..."
https://www.eluniversal.com.mx/Inicio/articulo/mundo/2016/06/27/espectaculos/espectaculos/cultura,"Con amuleto de Jenni Rivera, Lupillo y Fátima ganan la final de",27 Jun 2016,"27 Jun 2016 ... Migrantes enfrentan condiciones atroces en México: HRW ... dejó inundaciones, 
caída de árboles y vehículos cubiertos de hielo ... Con Slim, familia, lluvia y ""
bailongo"" festeja AMLO un año de su triunfo ... ha adoptado el gobierno federal 
en materia económica, de seguridad, migración y megaproyectos."
http://www.milenio.com/sitemap/articles/sitemap-articles-2016-05.xml,https://www.milenio.com/internacional/recuadro-que-es-y-como ...,"... -decidida-gobierno-federal-tamaulipas 2016-05-30T21:17:12-05:00 hourly 0.9 
... 0.9 https://www.milenio.com/estados/tlaquepaque-buscara-mitigar-
inundaciones","... -decidida-gobierno-federal-tamaulipas 2016-05-30T21:17:12-05:00 hourly 0.9 
... 0.9 https://www.milenio.com/estados/tlaquepaque-buscara-mitigar-
inundaciones ... 0.9 https://www.milenio.com/espectaculos/gustavo-santaolalla-
une-toro-obra- ... /el-inminente-colapso-de-la-capital-de-mexico 2016-05-29T01:
55:13-05:00 ..."
