[URL],[Titulo],[Fecha],[Snippet]
https://www.excelsior.com.mx/comunidad/2018/01/24/1215804,Cae primera granizada de 2018 en CDMX; provoca inundaciones,24 Ene 2018,"24 Ene 2018 ... Otras delegaciones con granizada fueron Álvaro Obregón, Azcapotzalco, Benito 
Juárez, Coyoacán, Gustavo A. Madero, Iztacalco, Iztapalapa, ..."
https://www.excelsior.com.mx/comunidad/2018/01/24/1215829,"Por lluvia y granizo, alerta amarilla en nueve delegaciones",24 Ene 2018,"24 Ene 2018 ... Gustavo A. Madero, Iztacalco, Iztapalapa, Magdalena Contreras, Tláhuac ... Cae 
primera granizada de 2018 en CDMX; provoca inundaciones."
https://www.publimetro.com.mx/mx/noticias/2018/01/24/fuerte-granizada-pinta-blanco-oriente-del-valle-mexico.html,Video: Cae fuerte granizada en gran parte del Valle de México ...,24 Ene 2018,"24 Ene 2018 ... ... que presente lluvia y granizo en diferentes partes de la Ciudad de México de 
las ... Inundación en Circuito Interior entre Añil y Viaducto, colonia Granjas ... en 
Álvaro Obregón, Azcapotzalco, Cuajimalpa, Gustavo A. Madero, ..."
https://www.eluniversal.com.mx/metropoli/cdmx/parque-la-quebradora-no-va-quitar-agua-vecinos,“Parque La Quebradora no va a quitar agua a vecinos”,28 Ene 2018,"28 Ene 2018 ... El área verde drenará la lluvia al subsuelo para evitar inundaciones en la 
delegación Iztapalapa."
https://www.eleconomista.com.mx/estados/Avanza-construccion-del-primer-parque-hidrico-20180123-0187.html,Avanza construcción del primer parque hídrico | El Economista,24 Ene 2018,"24 Ene 2018 ... Inversión inicial de $250 millones en la Ciudad de México ... Su función era 
acumular el agua de lluvia que baja de la Sierra de Santa Catarina para ... la 
cual se convirtió en un foco de infección y detonador de inundaciones."
https://www.debate.com.mx/mexico/Decomisan-casi-dos-mil-granadas-en-CDMX-20180121-0227.html,Decomisan casi dos mil granadas en CDMX | EL DEBATE,21 Ene 2018,"21 Ene 2018 ... Santa María Ticomán en la delegación Gustavo A. Madero. ... Lluvia en la 
Ciudad de México deja inundaciones en 5 alcaldías · CDMX ..."
https://www.sinembargo.mx/15-01-2018/3374014,El calentamiento global traerá devastadoras inundaciones en los ...,15 Ene 2018,"15 Ene 2018 ... Ciudad de México, 15 enero (RT/SinEmbargo).- Millones de personas se 
encuentran expuestas a enormes riesgos de sufrir las consecuencias ..."
https://www.eluniversal.com.mx/tag/arboles-caidos,árboles caídos | El Universal,"Tres árboles caídos y 2 anegaciones, saldo de lluvias este miércoles en CDMX 
... “Carlotta” deja inundaciones en Lázaro Cárdenas, Michoacán","Tres árboles caídos y 2 anegaciones, saldo de lluvias este miércoles en CDMX 
... “Carlotta” deja inundaciones en Lázaro Cárdenas, Michoacán ... 
Encharcamiento y árboles caídos dejan lluvias en la CDMX ... Hubo 10 
encharcamientos y cuatro árboles se cayeron; en Montes Urales, en GAM, se 
derrumbó una barda."
https://www.excelsior.com.mx/comunidad/2018/02/26/1222952,Video: Granizo azota cuatro delegaciones capitalinas,26 Feb 2018,"26 Feb 2018 ... ... Miguel Hidalgo, Coyoacán, Gustavo A. Madero y Venustiano Carranza”, 
indicaron a través de la red social. ... Encharcamientos e Inundaciones: ... Se 
prevén lluvias con intervalos de chubascos en la Ciudad de México."
https://www.milenio.com/estados/granizo-lluvia-azotan-sur-oriente-ciudad-mexico,Granizo y lluvia azotan sur y oriente de la Ciudad de México,26 Feb 2018,"26 Feb 2018 ... Granizo y lluvia azotan sur y oriente de la Ciudad de México ... de Quiroga en la 
colonia Vasco de Quiroga de la Gustavo A. Madero. ... #EvitaLaZona ⚠️ 
Inundación sobre Bilbao entre Periférico y Av. San Lorenzo, Col."
