Mes,Precipitacion,Temp Min,Temp Max
8.0,14.3,11.5,23.0
5.0,0.0,14.0,30.5
2.0,0.0,9.0,25.0
7.0,10.1,10.0,22.5
9.305384654400298,22.324538566880804,12.694615345599702,25.0
8.0,1.2,12.5,25.0
1.0,0.0,3.0,19.0
6.0,0.0,14.0,26.5
3.0,0.0,10.0,29.0
10.0,0.0,10.0,25.0
7.0,7.2,13.0,22.0
1.0,0.0,5.0,25.0
6.0,14.7,13.5,29.0
8.0,6.003890522471291,12.20389052247129,26.20389052247129
6.0,4.8,13.0,23.0
1.0,0.0,7.5,22.5
11.0,14.8,11.0,24.0
4.755099163746941,7.17754958187347,12.0,24.75509916374694
2.0,0.0,9.0,24.0
9.0,0.0,13.0,24.5
6.0,9.4,14.0,26.0
3.0,0.0,11.0,25.0
7.0,0.0,13.5,21.5
7.0,6.5,11.5,24.0
12.0,0.0,3.5,23.5
7.0,8.6,10.5,23.5
9.0,0.0,13.5,28.0
7.0,0.0,10.0,28.0
3.0,0.0,13.0,29.0
7.0,4.588362230255504,11.961207434185013,25.980603717092507
5.0,6.3,13.0,24.5
12.0,0.0,8.0,20.0
8.0,19.7,12.0,22.5
6.0,0.0,10.0,26.0
9.0,0.0,13.0,25.5
5.0,5.2,12.0,27.5
10.0,4.29315340593965,11.0,22.933294218682533
7.0,0.0,13.0,25.5
5.0,7.872196792319286,13.792998447896428,33.0
11.0,0.0,7.0,15.0
2.0,0.0,4.0,22.0
3.0,0.0,8.0,25.5
9.0,0.0,12.0,26.0
10.0,73.2,13.0,25.0
3.0,0.0,12.0,28.0
7.0,14.8,13.0,24.5
9.0,6.6,12.0,24.0
7.0,26.1,11.0,20.0
1.0,0.0,6.0,20.0
1.0,1.5,7.5,17.5
5.0,9.8,10.0,22.5
6.0,17.8,13.0,26.5
1.0,0.0,6.5,23.0
10.0,0.0,12.0,22.0
1.0,0.0,6.5,25.5
6.0,21.2,12.5,28.0
7.0,12.5,12.0,25.0
1.0,0.0,8.0,25.5
12.0,0.0,8.0,27.0
8.0,0.0,13.0,28.0
7.0,4.5,11.0,25.0
5.0,0.0,11.0,26.5
7.0,3.8,13.0,23.0
9.0,11.3,11.5,25.5
6.0,5.8,14.0,24.0
3.0,0.0,11.0,27.5
1.0,0.0,7.0,21.0
12.0,0.0,4.5,19.0
9.0,2.4,12.0,25.0
12.0,0.0,10.0,23.5
12.0,0.0,9.0,20.0
11.0,0.0,9.0,24.0
3.0,0.0,9.0,16.0
7.0,8.3,12.0,25.0
4.0,8.3,10.5,25.5
8.0,0.0,13.0,25.0
5.841158744274683,24.941158744274684,11.579420627862659,22.317682511450634
9.0,6.4,12.5,24.0
2.0,0.0,10.0,29.0
9.0,0.0,10.5,23.0
10.0,0.0,10.0,25.5
4.0,0.0,9.5,29.0
3.0,0.0,9.0,27.0
12.0,0.0,11.0,20.0
10.0,6.3,13.0,22.5
10.042631585923548,4.540315779707033,10.978684207038226,23.0
11.0,0.0,11.0,22.5
5.0,0.0,12.0,29.0
6.0,10.8,14.0,26.0
4.0,3.3311924058408424,11.620576852970826,25.069134720543758
1.0,0.0,6.0,20.5
8.0,8.2,11.0,26.0
10.0,0.0,11.0,26.0
7.962323345861179,13.558555680447297,12.96232334586118,26.92464669172236
6.9200277707977635,30.06999305730056,12.349965286502796,26.150034713497206
3.0,0.0,12.0,28.0
8.221995947803228,15.010590679947423,12.221995947803228,22.0
1.0,0.0,6.0,20.0
6.0,4.2,12.0,25.0
6.0,2.1,11.0,25.5
11.0,0.0,12.0,25.0
4.0,2.5,10.0,30.0
5.0,3.5,14.0,27.5
6.0,0.0,12.0,30.0
7.0,27.7,12.0,23.5
2.0,0.0,8.0,28.5
7.0,5.2,11.5,26.0
9.0,3.0850408300076615,12.0,25.0
5.0,0.0,12.0,30.0
6.0,26.5,14.0,27.0
7.0,24.7,12.5,26.0
12.0,0.0,9.0,27.0
1.0,0.0,7.0,24.0
5.0,0.0,13.0,26.5
7.0,4.893161912752029,11.014653044102795,26.99023130393147
5.412883127515615,4.593558436242192,13.0,25.412883127515617
2.0,0.0,10.0,27.0
6.0,0.0,14.5,25.0
3.0,0.0,10.0,30.0
8.0,0.0,13.5,27.0
6.0,0.0,13.0,25.5
10.0,0.0,9.0,22.5
8.0,0.0,12.0,23.0
5.0,0.0,13.5,28.0
7.0,4.706040559690697,11.933724650193314,26.0
9.0,0.0,11.0,28.0
7.0,4.3,11.0,25.5
9.0,0.0,13.5,24.0
6.0,75.7,13.0,15.0
7.0,3.5,11.0,23.0
7.0,2.5,12.0,25.0
10.0,0.0,12.0,19.0
11.0,0.0,9.0,20.5
8.0,29.8,11.0,27.5
10.0,3.2,13.0,26.0
6.0,0.0,13.5,26.5
8.0,14.421712416524857,13.021405206560697,23.0
6.0,2.6,16.0,33.0
6.0,1.2,13.0,26.0
7.0,0.0,13.0,27.0
3.0,0.0,9.0,25.0
9.0,0.0,12.0,25.0
8.0,0.0,13.0,27.0
8.0,2.5,11.5,26.0
2.0,0.0,10.5,28.0
9.0,0.0,12.5,25.5
6.024401427384905,30.293899643153775,13.46949821576887,25.03050178423113
9.0,0.0,13.0,25.5
6.0,9.527566250991956,13.48030982072003,22.559070537839908
9.0,0.0,12.0,27.0
3.0,0.0,12.5,32.5
2.0,0.0,10.0,26.0
12.0,0.0,8.0,15.0
10.0,0.0,12.5,25.0
4.0,0.0,13.0,29.5
