Mes,Precipitacion,Temp Min,Temp Max
12,0.00,8.00,23.50
5,0.00,14.00,31.50
4,0.00,12.50,28.00
2,0.00,7.00,27.00
3,0.00,11.50,25.50
5,0.00,16.00,32.50
5,1.00,13.50,26.00
10,0.00,14.00,26.00
7,0.00,13.50,27.50
6,0.00,15.00,30.50
5,0.00,10.50,30.50
6,0.00,14.00,28.50
3,0.00,7.00,28.00
7,1.00,13.50,28.00
7,1.00,13.00,25.00
3,0.80,9.00,14.50
8,21.50,14.00,25.50
9,15.70,11.00,23.50
7,10.50,13.50,21.50
4,0.01,15.00,28.00
12,0.00,7.00,27.00
8,0.00,12.00,22.00
1,0.00,5.00,25.00
11,0.30,9.00,27.50
7,4.00,11.50,26.00
6,0.00,15.00,24.00
8,21.50,13.50,25.50
12,0.00,8.50,23.00
8,4.20,13.00,27.00
6,5.60,15.50,24.50
9,10.10,14.00,22.50
11,4.50,10.00,26.00
11,0.00,9.00,24.00
2,0.00,7.50,28.50
7,9.30,14.50,21.50
11,0.00,6.00,25.50
5,0.00,12.00,23.50
10,0.00,11.50,26.50
6,34.60,14.00,25.00
8,0.00,14.00,27.00
10,0.00,10.50,29.00
9,0.00,14.00,22.00
7,0.00,13.50,25.00
11,0.00,10.00,26.00
3,0.00,10.50,28.00
10,0.00,12.00,27.50
10,6.30,13.00,27.00
6,0.00,15.00,26.50
4,23.70,12.00,30.00
8,15.30,14.00,27.00
8,1.00,14.00,29.00
7,0.00,11.00,24.00
9,0.00,13.00,26.00
1,0.00,4.00,25.00
11,0.30,11.00,27.00
2,0.00,5.50,27.00
11,0.00,10.50,26.00
10,0.00,8.50,24.00
10,0.00,13.00,23.00
9,0.00,9.00,24.50
7,0.00,14.00,27.00
11,0.00,6.00,21.00
4,0.00,15.50,30.50
5,1.00,13.00,27.00
12,0.00,5.00,25.00
11,0.00,0.50,23.00
6,4.00,14.00,29.00
5,0.00,16.00,32.00
11,0.00,6.00,25.00
6,0.01,15.00,27.00
10,0.01,13.00,21.00
10,0.00,12.00,27.00
1,0.00,4.50,18.00
10,0.00,11.50,25.00
9,9.70,15.00,25.50
11,0.00,5.00,22.50
12,0.00,8.00,26.00
10,0.00,13.00,28.00
5,0.00,13.00,30.00
1,0.00,0.50,20.50
5,0.00,8.00,27.00
9,14.90,11.50,24.00
7,0.00,13.50,24.00
3,0.00,11.50,30.50
1,0.00,7.00,25.00
1,0.00,6.00,26.00
9,0.00,10.50,26.00
1,0.00,6.00,25.00
6,6.10,15.00,26.50
2,0.20,10.00,26.00
7,0.00,13.50,26.00
10,0.00,13.50,23.00
8,0.00,11.00,23.50
8,11.40,13.50,22.50
7,0.00,11.00,28.00
10,0.00,6.00,24.00
10,2.30,13.00,26.00
9,0.00,5.00,24.00
12,0.00,6.00,24.50
4,0.00,11.50,25.50
