Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-03-05,Alcaldia object (101),0.00,7.00,26.50,0,2020-07-12 08:36:41+00:00,
2012-03-06,Alcaldia object (101),0.00,7.00,27.00,0,2020-07-12 08:36:41+00:00,
2012-03-07,Alcaldia object (101),0.00,7.50,27.50,0,2020-07-12 08:36:41+00:00,
2012-03-08,Alcaldia object (101),1.00,9.50,28.00,0,2020-07-12 08:36:41+00:00,
2012-03-09,Alcaldia object (101),0.00,10.50,29.50,0,2020-07-12 08:36:41+00:00,
2012-03-10,Alcaldia object (101),7.80,9.50,26.50,0,2020-07-12 08:36:41+00:00,
2012-03-11,Alcaldia object (101),0.80,9.50,25.50,0,2020-07-12 08:36:41+00:00,
2012-03-12,Alcaldia object (101),1.70,9.50,26.50,0,2020-07-12 08:36:41+00:00,
2012-03-13,Alcaldia object (101),0.00,8.50,27.00,0,2020-07-12 08:36:41+00:00,
2012-03-14,Alcaldia object (101),0.00,7.50,27.00,0,2020-07-12 08:36:41+00:00,
2012-03-15,Alcaldia object (101),0.00,8.00,26.00,0,2020-07-12 08:36:41+00:00,
2012-03-16,Alcaldia object (101),0.00,8.50,26.00,0,2020-07-12 08:36:41+00:00,
2012-03-17,Alcaldia object (101),0.90,9.00,27.00,0,2020-07-12 08:36:41+00:00,
2012-03-18,Alcaldia object (101),0.30,10.00,25.00,0,2020-07-12 08:36:41+00:00,
2012-03-19,Alcaldia object (101),0.00,11.00,26.00,0,2020-07-12 08:36:41+00:00,
2012-03-20,Alcaldia object (101),0.00,19.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-03-21,Alcaldia object (101),0.00,7.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-03-22,Alcaldia object (101),0.00,8.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-03-23,Alcaldia object (101),0.00,8.50,27.00,0,2020-07-12 08:36:42+00:00,
2012-03-24,Alcaldia object (101),0.00,8.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-03-25,Alcaldia object (101),0.00,7.50,27.00,0,2020-07-12 08:36:42+00:00,
