Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2010-01-01,Alcaldia object (101),0.00,5.00,22.50,0,2020-07-12 08:36:35+00:00,
2010-01-02,Alcaldia object (101),0.00,6.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-03,Alcaldia object (101),0.00,4.50,25.50,0,2020-07-12 08:36:35+00:00,
2010-01-04,Alcaldia object (101),0.00,4.00,26.00,0,2020-07-12 08:36:35+00:00,
2010-01-05,Alcaldia object (101),0.00,5.00,27.00,0,2020-07-12 08:36:35+00:00,
2010-01-06,Alcaldia object (101),0.00,5.00,26.00,0,2020-07-12 08:36:35+00:00,
2010-01-07,Alcaldia object (101),0.00,4.50,25.50,0,2020-07-12 08:36:35+00:00,
2010-01-08,Alcaldia object (101),0.00,4.50,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-09,Alcaldia object (101),0.00,6.00,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-10,Alcaldia object (101),0.00,4.00,26.00,0,2020-07-12 08:36:35+00:00,
2010-01-11,Alcaldia object (101),0.00,4.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-12,Alcaldia object (101),0.00,4.00,20.00,0,2020-07-12 08:36:35+00:00,
2010-01-13,Alcaldia object (101),0.00,4.00,17.50,0,2020-07-12 08:36:35+00:00,
2010-01-14,Alcaldia object (101),0.00,3.00,21.00,0,2020-07-12 08:36:35+00:00,
2010-01-15,Alcaldia object (101),0.00,4.50,22.00,0,2020-07-12 08:36:35+00:00,
2010-01-16,Alcaldia object (101),0.00,4.50,23.00,0,2020-07-12 08:36:35+00:00,
2010-01-17,Alcaldia object (101),0.00,3.50,22.50,0,2020-07-12 08:36:35+00:00,
2010-01-18,Alcaldia object (101),0.00,3.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-19,Alcaldia object (101),0.00,3.00,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-20,Alcaldia object (101),0.00,-1.00,26.00,0,2020-07-12 08:36:35+00:00,
2010-01-21,Alcaldia object (101),0.00,5.00,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-22,Alcaldia object (101),0.00,4.50,23.50,0,2020-07-12 08:36:35+00:00,
2010-01-23,Alcaldia object (101),0.00,5.50,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-24,Alcaldia object (101),0.00,5.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-25,Alcaldia object (101),0.00,5.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-26,Alcaldia object (101),0.00,4.00,23.00,0,2020-07-12 08:36:35+00:00,
2010-01-27,Alcaldia object (101),0.00,4.00,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-28,Alcaldia object (101),0.00,5.00,22.50,0,2020-07-12 08:36:35+00:00,
2010-01-29,Alcaldia object (101),0.00,5.50,24.00,0,2020-07-12 08:36:35+00:00,
2010-01-30,Alcaldia object (101),0.00,6.50,25.00,0,2020-07-12 08:36:35+00:00,
2010-01-31,Alcaldia object (101),0.00,6.50,25.00,0,2020-07-12 08:36:35+00:00,
2010-06-01,Alcaldia object (101),0.00,12.50,32.00,0,2020-07-12 08:36:35+00:00,
2010-06-02,Alcaldia object (101),0.00,14.50,32.00,0,2020-07-12 08:36:35+00:00,
2010-06-03,Alcaldia object (101),0.00,14.00,32.50,0,2020-07-12 08:36:35+00:00,
2010-06-04,Alcaldia object (101),0.00,13.50,32.50,0,2020-07-12 08:36:35+00:00,
2010-06-05,Alcaldia object (101),0.00,13.50,31.50,0,2020-07-12 08:36:35+00:00,
2010-06-06,Alcaldia object (101),0.50,12.50,32.50,0,2020-07-12 08:36:35+00:00,
2010-06-07,Alcaldia object (101),0.00,13.50,30.50,0,2020-07-12 08:36:35+00:00,
2010-06-08,Alcaldia object (101),3.80,15.00,30.50,0,2020-07-12 08:36:35+00:00,
