Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2018-03-06,Alcaldia object (101),0.00,12.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-07,Alcaldia object (101),1.50,8.50,25.00,0,2020-07-12 08:37:05+00:00,
2018-03-08,Alcaldia object (101),0.00,8.00,26.50,0,2020-07-12 08:37:05+00:00,
2018-03-09,Alcaldia object (101),0.01,10.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-03-10,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-11,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-12,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-13,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-14,Alcaldia object (101),2.50,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-15,Alcaldia object (101),11.50,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-16,Alcaldia object (101),3.20,10.50,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-17,Alcaldia object (101),0.00,11.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-18,Alcaldia object (101),0.00,10.50,26.50,0,2020-07-12 08:37:05+00:00,
2018-03-19,Alcaldia object (101),0.00,10.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-20,Alcaldia object (101),0.00,11.50,31.50,0,2020-07-12 08:37:05+00:00,
2018-03-21,Alcaldia object (101),0.00,11.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-03-22,Alcaldia object (101),0.00,10.50,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-23,Alcaldia object (101),0.00,9.50,27.50,0,2020-07-12 08:37:05+00:00,
2018-03-24,Alcaldia object (101),0.00,8.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-25,Alcaldia object (101),0.00,10.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-26,Alcaldia object (101),0.00,11.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-27,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-03-28,Alcaldia object (101),0.00,11.50,29.00,0,2020-07-12 08:37:05+00:00,
2018-03-29,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-03-30,Alcaldia object (101),0.00,8.00,25.00,0,2020-07-12 08:37:05+00:00,
2018-03-31,Alcaldia object (101),0.00,8.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-04-01,Alcaldia object (101),0.00,9.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-04-02,Alcaldia object (101),0.00,9.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-04-03,Alcaldia object (101),0.01,12.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-04-04,Alcaldia object (101),0.00,13.00,28.50,0,2020-07-12 08:37:05+00:00,
2018-04-05,Alcaldia object (101),8.30,13.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-04-06,Alcaldia object (101),3.00,10.50,25.00,0,2020-07-12 08:37:05+00:00,
2018-04-07,Alcaldia object (101),0.00,10.50,26.50,0,2020-07-12 08:37:05+00:00,
2018-04-08,Alcaldia object (101),0.00,11.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-04-09,Alcaldia object (101),2.50,11.00,29.50,0,2020-07-12 08:37:05+00:00,
2018-04-10,Alcaldia object (101),0.01,11.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-04-11,Alcaldia object (101),0.50,10.50,24.50,0,2020-07-12 08:37:05+00:00,
2018-04-12,Alcaldia object (101),0.01,12.00,25.00,0,2020-07-12 08:37:05+00:00,
2018-04-13,Alcaldia object (101),0.00,11.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-04-14,Alcaldia object (101),0.00,11.00,27.00,0,2020-07-12 08:37:05+00:00,
2018-04-15,Alcaldia object (101),0.01,10.50,27.50,0,2020-07-12 08:37:05+00:00,
2018-04-16,Alcaldia object (101),0.00,10.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-04-17,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:37:05+00:00,
2018-04-18,Alcaldia object (101),0.00,11.50,29.50,0,2020-07-12 08:37:05+00:00,
2018-04-19,Alcaldia object (101),0.00,11.50,30.50,0,2020-07-12 08:37:05+00:00,
2018-04-20,Alcaldia object (101),0.00,11.50,28.00,0,2020-07-12 08:37:05+00:00,
2018-04-21,Alcaldia object (101),1.50,11.50,29.50,0,2020-07-12 08:37:05+00:00,
2018-04-22,Alcaldia object (101),3.00,13.00,29.00,0,2020-07-12 08:37:05+00:00,
2018-04-23,Alcaldia object (101),0.00,14.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-04-24,Alcaldia object (101),1.00,13.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-04-25,Alcaldia object (101),0.00,12.00,26.00,0,2020-07-12 08:37:05+00:00,
2018-04-26,Alcaldia object (101),1.60,13.00,27.50,0,2020-07-12 08:37:05+00:00,
2018-04-27,Alcaldia object (101),0.01,12.50,27.00,0,2020-07-12 08:37:05+00:00,
