Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-01-01,Colonia object (1),0.00,5.50,23.00,0,2020-07-19 19:58:46+00:00,
2012-01-02,Colonia object (1),0.00,6.00,16.00,0,2020-07-19 19:58:46+00:00,
2012-01-03,Colonia object (1),0.00,6.50,17.50,0,2020-07-19 19:58:46+00:00,
2012-01-04,Colonia object (1),0.00,4.00,21.50,0,2020-07-19 19:58:46+00:00,
2012-01-05,Colonia object (1),0.00,4.00,21.00,0,2020-07-19 19:58:46+00:00,
2012-01-06,Colonia object (1),0.00,4.00,22.00,0,2020-07-19 19:58:46+00:00,
2012-01-07,Colonia object (1),0.00,4.50,22.50,0,2020-07-19 19:58:46+00:00,
2012-01-08,Colonia object (1),0.00,5.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-01-09,Colonia object (1),0.00,6.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-01-10,Colonia object (1),0.00,4.00,23.50,0,2020-07-19 19:58:46+00:00,
2012-01-11,Colonia object (1),0.00,6.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-01-12,Colonia object (1),0.00,5.50,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-13,Colonia object (1),0.00,5.50,23.00,0,2020-07-19 19:58:46+00:00,
2012-01-14,Colonia object (1),3.10,6.00,23.00,0,2020-07-19 19:58:46+00:00,
2012-01-15,Colonia object (1),2.50,8.00,20.00,0,2020-07-19 19:58:46+00:00,
2012-01-16,Colonia object (1),0.00,5.50,23.00,0,2020-07-19 19:58:46+00:00,
2012-01-17,Colonia object (1),0.00,5.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-18,Colonia object (1),0.00,6.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-19,Colonia object (1),0.00,6.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-20,Colonia object (1),0.00,6.00,24.00,0,2020-07-19 19:58:46+00:00,
2012-01-21,Colonia object (1),0.00,6.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-01-22,Colonia object (1),0.00,6.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-01-23,Colonia object (1),0.00,8.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-01-24,Colonia object (1),0.00,8.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-25,Colonia object (1),0.00,8.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-01-26,Colonia object (1),0.00,6.50,23.00,0,2020-07-19 19:58:46+00:00,
2012-01-27,Colonia object (1),0.00,6.00,24.00,0,2020-07-19 19:58:46+00:00,
2012-01-28,Colonia object (1),0.00,6.00,24.00,0,2020-07-19 19:58:46+00:00,
2012-01-29,Colonia object (1),2.00,6.50,16.50,0,2020-07-19 19:58:46+00:00,
2012-01-30,Colonia object (1),0.00,9.50,20.00,0,2020-07-19 19:58:46+00:00,
2012-01-31,Colonia object (1),1.00,9.50,21.00,0,2020-07-19 19:58:46+00:00,
2012-02-01,Colonia object (1),4.70,9.50,20.50,0,2020-07-19 19:58:46+00:00,
2012-02-02,Colonia object (1),0.50,7.00,23.50,0,2020-07-19 19:58:46+00:00,
2012-02-03,Colonia object (1),0.00,6.50,24.00,0,2020-07-19 19:58:46+00:00,
2012-02-04,Colonia object (1),0.00,6.00,24.00,0,2020-07-19 19:58:46+00:00,
2012-02-05,Colonia object (1),3.90,8.00,22.50,0,2020-07-19 19:58:46+00:00,
2012-02-06,Colonia object (1),2.30,7.00,21.00,0,2020-07-19 19:58:46+00:00,
2012-02-07,Colonia object (1),2.80,7.00,17.00,0,2020-07-19 19:58:46+00:00,
2012-02-08,Colonia object (1),0.00,8.00,20.00,0,2020-07-19 19:58:46+00:00,
2012-02-09,Colonia object (1),5.10,8.50,19.50,0,2020-07-19 19:58:46+00:00,
2012-02-10,Colonia object (1),3.40,8.50,14.00,0,2020-07-19 19:58:46+00:00,
2012-02-11,Colonia object (1),0.00,9.00,18.00,0,2020-07-19 19:58:46+00:00,
2012-02-12,Colonia object (1),0.00,10.00,20.00,0,2020-07-19 19:58:46+00:00,
2012-02-13,Colonia object (1),0.00,10.50,21.00,0,2020-07-19 19:58:46+00:00,
2012-02-14,Colonia object (1),0.30,12.50,20.50,0,2020-07-19 19:58:46+00:00,
2012-02-15,Colonia object (1),0.00,11.00,23.50,0,2020-07-19 19:58:46+00:00,
2012-02-16,Colonia object (1),0.00,10.00,24.00,0,2020-07-19 19:58:46+00:00,
2012-02-17,Colonia object (1),0.00,9.50,25.50,0,2020-07-19 19:58:46+00:00,
2012-02-18,Colonia object (1),0.00,9.50,25.00,0,2020-07-19 19:58:46+00:00,
2012-02-19,Colonia object (1),0.00,7.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-02-20,Colonia object (1),0.00,8.50,26.00,0,2020-07-19 19:58:46+00:00,
2012-02-21,Colonia object (1),0.00,10.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-02-22,Colonia object (1),0.00,9.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-02-23,Colonia object (1),0.00,9.00,28.00,0,2020-07-19 19:58:46+00:00,
2012-02-24,Colonia object (1),4.20,10.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-02-25,Colonia object (1),4.00,9.50,21.50,0,2020-07-19 19:58:46+00:00,
2012-02-26,Colonia object (1),0.00,7.50,24.50,0,2020-07-19 19:58:46+00:00,
2012-02-27,Colonia object (1),0.00,8.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-02-28,Colonia object (1),0.00,7.50,27.00,0,2020-07-19 19:58:46+00:00,
2012-02-29,Colonia object (1),0.00,8.00,28.50,0,2020-07-19 19:58:46+00:00,
2012-03-01,Colonia object (1),0.00,8.50,28.50,0,2020-07-19 19:58:46+00:00,
2012-03-02,Colonia object (1),0.00,9.00,29.50,0,2020-07-19 19:58:46+00:00,
2012-03-03,Colonia object (1),0.00,9.60,29.50,0,2020-07-19 19:58:46+00:00,
2012-03-04,Colonia object (1),0.00,10.00,21.50,0,2020-07-19 19:58:46+00:00,
2012-03-05,Colonia object (1),0.00,7.00,26.50,0,2020-07-19 19:58:46+00:00,
2012-03-06,Colonia object (1),0.00,7.00,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-07,Colonia object (1),0.00,7.50,27.50,0,2020-07-19 19:58:46+00:00,
2012-03-08,Colonia object (1),1.00,9.50,28.00,0,2020-07-19 19:58:46+00:00,
2012-03-09,Colonia object (1),0.00,10.50,29.50,0,2020-07-19 19:58:46+00:00,
2012-03-10,Colonia object (1),7.80,9.50,26.50,0,2020-07-19 19:58:46+00:00,
2012-03-11,Colonia object (1),0.80,9.50,25.50,0,2020-07-19 19:58:46+00:00,
2012-03-12,Colonia object (1),1.70,9.50,26.50,0,2020-07-19 19:58:46+00:00,
2012-03-13,Colonia object (1),0.00,8.50,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-14,Colonia object (1),0.00,7.50,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-15,Colonia object (1),0.00,8.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-03-16,Colonia object (1),0.00,8.50,26.00,0,2020-07-19 19:58:46+00:00,
2012-03-17,Colonia object (1),0.90,9.00,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-18,Colonia object (1),0.30,10.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-03-19,Colonia object (1),0.00,11.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-03-20,Colonia object (1),0.00,19.00,27.50,0,2020-07-19 19:58:46+00:00,
2012-03-21,Colonia object (1),0.00,7.00,28.00,0,2020-07-19 19:58:46+00:00,
2012-03-22,Colonia object (1),0.00,8.00,27.50,0,2020-07-19 19:58:46+00:00,
2012-03-23,Colonia object (1),0.00,8.50,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-24,Colonia object (1),0.00,8.00,27.50,0,2020-07-19 19:58:46+00:00,
2012-03-25,Colonia object (1),0.00,7.50,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-26,Colonia object (1),0.00,8.00,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-27,Colonia object (1),0.00,8.00,27.00,0,2020-07-19 19:58:46+00:00,
2012-03-28,Colonia object (1),1.00,11.00,26.00,0,2020-07-19 19:58:46+00:00,
2012-03-29,Colonia object (1),1.70,11.50,23.50,0,2020-07-19 19:58:46+00:00,
2012-03-30,Colonia object (1),0.00,9.00,24.50,0,2020-07-19 19:58:46+00:00,
2012-03-31,Colonia object (1),0.00,9.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-04-01,Colonia object (1),0.00,11.00,25.50,0,2020-07-19 19:58:46+00:00,
2012-04-02,Colonia object (1),0.00,12.00,25.00,0,2020-07-19 19:58:46+00:00,
2012-04-03,Colonia object (1),0.00,9.00,27.00,0,2020-07-19 19:58:46+00:00,
2012-04-04,Colonia object (1),0.00,9.00,28.50,0,2020-07-19 19:58:46+00:00,
2012-04-05,Colonia object (1),0.00,9.00,28.00,0,2020-07-19 19:58:46+00:00,
2012-04-06,Colonia object (1),0.00,11.00,24.50,0,2020-07-19 19:58:46+00:00,
