Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2017-03-09,Colonia object (1),1.20,9.50,25.50,0,2020-07-19 19:58:53+00:00,
2017-03-10,Colonia object (1),0.00,8.50,25.00,0,2020-07-19 19:58:53+00:00,
2017-03-11,Colonia object (1),0.00,9.00,26.00,0,2020-07-19 19:58:53+00:00,
2017-03-12,Colonia object (1),0.00,11.00,24.50,0,2020-07-19 19:58:53+00:00,
2017-03-13,Colonia object (1),2.90,9.00,24.00,0,2020-07-19 19:58:53+00:00,
2017-03-14,Colonia object (1),1.40,6.50,24.00,0,2020-07-19 19:58:53+00:00,
2017-03-15,Colonia object (1),4.60,8.00,21.50,0,2020-07-19 19:58:53+00:00,
2017-03-16,Colonia object (1),3.60,8.00,23.00,1,2020-07-19 19:58:53+00:00,
2017-03-17,Colonia object (1),0.00,12.00,25.00,0,2020-07-19 19:58:53+00:00,
2017-03-18,Colonia object (1),0.00,7.50,25.50,0,2020-07-19 19:58:53+00:00,
2017-03-19,Colonia object (1),0.00,7.50,26.00,0,2020-07-19 19:58:53+00:00,
2017-03-20,Colonia object (1),0.00,6.50,27.00,0,2020-07-19 19:58:53+00:00,
2017-03-21,Colonia object (1),0.00,7.00,28.50,0,2020-07-19 19:58:53+00:00,
2017-03-22,Colonia object (1),0.00,7.50,28.00,0,2020-07-19 19:58:53+00:00,
2017-03-23,Colonia object (1),0.00,6.00,28.50,0,2020-07-19 19:58:53+00:00,
2017-03-24,Colonia object (1),0.00,6.50,30.00,0,2020-07-19 19:58:53+00:00,
2017-03-25,Colonia object (1),1.10,10.50,29.50,0,2020-07-19 19:58:53+00:00,
2017-03-26,Colonia object (1),1.60,10.00,28.50,0,2020-07-19 19:58:53+00:00,
2017-03-27,Colonia object (1),0.00,9.00,28.50,0,2020-07-19 19:58:53+00:00,
2017-03-28,Colonia object (1),0.00,11.00,28.50,0,2020-07-19 19:58:53+00:00,
2017-03-29,Colonia object (1),0.00,10.00,29.50,0,2020-07-19 19:58:53+00:00,
2017-03-30,Colonia object (1),0.00,9.00,29.00,0,2020-07-19 19:58:53+00:00,
2017-03-31,Colonia object (1),0.00,11.00,27.00,0,2020-07-19 19:58:53+00:00,
2017-04-01,Colonia object (1),0.00,11.00,30.00,0,2020-07-19 19:58:53+00:00,
2017-04-02,Colonia object (1),0.00,11.50,29.00,0,2020-07-19 19:58:53+00:00,
2017-04-03,Colonia object (1),0.00,9.00,29.50,0,2020-07-19 19:58:53+00:00,
