Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2016-03-05,Alcaldia object (101),0.00,7.00,26.50,0,2020-07-12 08:36:57+00:00,
2016-03-06,Alcaldia object (101),0.00,6.00,27.00,0,2020-07-12 08:36:57+00:00,
2016-03-07,Alcaldia object (101),0.00,8.00,24.00,0,2020-07-12 08:36:57+00:00,
2016-03-08,Alcaldia object (101),4.50,12.00,23.50,0,2020-07-12 08:36:57+00:00,
2016-03-09,Alcaldia object (101),1.90,11.00,17.50,0,2020-07-12 08:36:57+00:00,
2016-03-10,Alcaldia object (101),0.00,9.00,16.00,0,2020-07-12 08:36:57+00:00,
2016-03-11,Alcaldia object (101),0.00,4.50,20.00,0,2020-07-12 08:36:57+00:00,
2016-03-12,Alcaldia object (101),0.00,5.00,25.50,0,2020-07-12 08:36:57+00:00,
2016-03-13,Alcaldia object (101),0.00,4.50,29.00,0,2020-07-12 08:36:57+00:00,
2016-03-14,Alcaldia object (101),0.00,7.00,29.00,0,2020-07-12 08:36:57+00:00,
2016-03-15,Alcaldia object (101),0.00,9.00,30.50,0,2020-07-12 08:36:57+00:00,
2016-03-16,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:36:57+00:00,
2016-03-17,Alcaldia object (101),0.00,12.00,27.00,0,2020-07-12 08:36:57+00:00,
2016-03-18,Alcaldia object (101),0.00,12.00,30.00,0,2020-07-12 08:36:57+00:00,
2016-03-19,Alcaldia object (101),0.00,11.50,25.50,0,2020-07-12 08:36:57+00:00,
2016-03-20,Alcaldia object (101),0.00,10.50,24.00,0,2020-07-12 08:36:57+00:00,
2016-03-21,Alcaldia object (101),0.00,9.50,19.50,0,2020-07-12 08:36:57+00:00,
2016-03-22,Alcaldia object (101),0.00,9.50,24.00,0,2020-07-12 08:36:57+00:00,
2016-03-23,Alcaldia object (101),0.00,9.00,27.50,0,2020-07-12 08:36:57+00:00,
2016-03-24,Alcaldia object (101),0.00,9.50,28.50,0,2020-07-12 08:36:57+00:00,
2016-03-25,Alcaldia object (101),0.00,10.00,28.50,0,2020-07-12 08:36:57+00:00,
2016-03-26,Alcaldia object (101),0.00,9.00,27.50,0,2020-07-12 08:36:57+00:00,
2016-03-27,Alcaldia object (101),0.00,11.50,30.50,0,2020-07-12 08:36:57+00:00,
2016-03-28,Alcaldia object (101),0.00,14.00,28.50,0,2020-07-12 08:36:57+00:00,
2016-03-29,Alcaldia object (101),0.00,12.00,30.50,0,2020-07-12 08:36:57+00:00,
2016-03-30,Alcaldia object (101),0.00,12.00,30.50,0,2020-07-12 08:36:57+00:00,
